,ticker_symbol,day_date,close_value
0,AAPL,2020-05-29,317.94
1,AAPL,2020-05-28,318.25
2,AAPL,2020-05-27,318.11
3,AAPL,2020-05-26,316.73
4,AAPL,2020-05-22,318.89
5,AAPL,2020-05-21,316.85
6,AAPL,2020-05-20,319.23
7,AAPL,2020-05-19,313.14
8,AAPL,2020-05-18,314.96
9,AAPL,2020-05-15,307.71
10,AAPL,2020-05-14,309.54
11,AAPL,2020-05-13,307.65
12,AAPL,2020-05-12,311.41
13,AAPL,2020-05-11,315.01
14,AAPL,2020-05-08,310.13
15,AAPL,2020-05-07,303.74
16,AAPL,2020-05-06,300.63
17,AAPL,2020-05-05,297.56
18,AAPL,2020-05-04,293.16
19,AAPL,2020-05-01,289.07
20,AAPL,2020-04-30,293.8
21,AAPL,2020-04-29,287.73
22,AAPL,2020-04-28,278.58
23,AAPL,2020-04-27,283.17
24,AAPL,2020-04-24,282.97
25,AAPL,2020-04-23,275.03
26,AAPL,2020-04-22,276.1
27,AAPL,2020-04-21,268.37
28,AAPL,2020-04-20,276.93
29,AAPL,2020-04-17,282.8
30,AAPL,2020-04-16,286.69
31,AAPL,2020-04-15,284.43
32,AAPL,2020-04-14,287.05
33,AAPL,2020-04-13,273.25
34,AAPL,2020-04-09,267.99
35,AAPL,2020-04-08,266.07
36,AAPL,2020-04-07,259.43
37,AAPL,2020-04-06,262.47
38,AAPL,2020-04-03,241.41
39,AAPL,2020-04-02,244.93
40,AAPL,2020-04-01,240.91
41,AAPL,2020-03-31,254.29
42,AAPL,2020-03-30,254.81
43,AAPL,2020-03-27,247.74
44,AAPL,2020-03-26,258.44
45,AAPL,2020-03-25,245.52
46,AAPL,2020-03-24,246.88
47,AAPL,2020-03-23,224.37
48,AAPL,2020-03-20,229.24
49,AAPL,2020-03-19,244.78
50,AAPL,2020-03-18,246.67
51,AAPL,2020-03-17,252.86
52,AAPL,2020-03-16,242.21
53,AAPL,2020-03-13,277.97
54,AAPL,2020-03-12,248.23
55,AAPL,2020-03-11,275.43
56,AAPL,2020-03-10,285.34
57,AAPL,2020-03-09,266.17
58,AAPL,2020-03-06,289.03
59,AAPL,2020-03-05,292.92
60,AAPL,2020-03-04,302.74
61,AAPL,2020-03-03,289.32
62,AAPL,2020-03-02,298.81
63,AAPL,2020-02-28,273.36
64,AAPL,2020-02-27,273.52
65,AAPL,2020-02-26,292.65
66,AAPL,2020-02-25,288.08
67,AAPL,2020-02-24,298.18
68,AAPL,2020-02-21,313.05
69,AAPL,2020-02-20,320.3
70,AAPL,2020-02-19,323.62
71,AAPL,2020-02-18,319.0
72,AAPL,2020-02-14,324.95
73,AAPL,2020-02-13,324.87
74,AAPL,2020-02-12,327.2
75,AAPL,2020-02-11,319.61
76,AAPL,2020-02-10,321.55
77,AAPL,2020-02-07,320.03
78,AAPL,2020-02-06,325.21
79,AAPL,2020-02-05,321.45
80,AAPL,2020-02-04,318.85
81,AAPL,2020-02-03,308.66
82,AAPL,2020-01-31,309.51
83,AAPL,2020-01-30,323.87
84,AAPL,2020-01-29,324.34
85,AAPL,2020-01-28,317.69
86,AAPL,2020-01-27,308.95
87,AAPL,2020-01-24,318.31
88,AAPL,2020-01-23,319.23
89,AAPL,2020-01-22,317.7
90,AAPL,2020-01-21,316.57
91,AAPL,2020-01-17,318.73
92,AAPL,2020-01-16,315.24
93,AAPL,2020-01-15,311.34
94,AAPL,2020-01-14,312.68
